ì˙ït,è§ïiID,å⁄ãqID,éxìXID,îÃîÑíPâø,îÃîÑêîó 
2016/4/1,P0002,C0007,B002,36800,11
2016/4/3,P0014,C0006,B002,19500,9
2016/4/3,P0013,C0026,B005,46200,10
2016/4/5,P0033,C0004,B004,8200,8
2016/4/5,P0024,C0030,B005,44200,18
2016/4/7,P0014,C0009,B002,19300,8
2016/4/12,P0014,C0022,B001,21900,19
2016/4/13,P0033,C0001,B002,9800,12
2016/4/14,P0032,C0014,B002,18500,5
2016/4/15,P0006,C0018,B003,32600,9
2016/4/16,P0013,C0014,B003,49300,20
2016/4/18,P0024,C0002,B005,40700,18
2016/4/21,P0022,C0021,B003,29700,3
2016/4/21,P0015,C0013,B001,600,2
2016/4/22,P0016,C0005,B002,27400,6
2016/4/24,P0003,C0014,B005,26000,19
2016/4/24,P0029,C0016,B003,14300,14
2016/4/25,P0001,C0005,B003,6800,7
2016/4/26,P0033,C0015,B001,9100,14
2016/4/26,P0007,C0003,B003,45200,6
2016/4/27,P0032,C0002,B003,15900,13
2016/4/28,P0014,C0028,B005,19800,18
2016/4/30,P0001,C0003,B001,8000,11
2016/4/30,P0002,C0005,B004,46900,17
2016/4/30,P0029,C0021,B002,18300,10
2016/5/2,P0032,C0012,B002,15300,5
2016/5/2,P0029,C0017,B002,15800,2
2016/5/3,P0011,C0004,B004,42100,8
2016/5/4,P0022,C0023,B003,34000,7
2016/5/6,P0030,C0019,B004,42200,16
2016/5/6,P0029,C0025,B005,13500,2
2016/5/9,P0004,C0015,B005,23400,14
2016/5/9,P0029,C0023,B002,17300,12
2016/5/17,P0010,C0012,B001,6600,15
2016/5/26,P0013,C0014,B002,46200,1
2016/5/27,P0029,C0027,B002,15000,9
2016/5/29,P0024,C0024,B002,39300,17
2016/5/30,P0030,C0021,B003,34200,5
2016/5/31,P0010,C0019,B005,7300,2
2016/6/7,P0001,C0025,B003,8500,1
2016/6/11,P0029,C0007,B002,15000,16
2016/6/15,P0003,C0011,B004,22800,16
2016/6/18,P0033,C0024,B003,8600,4
2016/6/18,P0013,C0015,B003,44000,10
2016/6/19,P0024,C0017,B003,35800,20
2016/6/21,P0024,C0003,B002,41400,17
2016/6/21,P0022,C0006,B003,28900,15
2016/6/21,P0003,C0001,B004,30300,5
2016/6/21,P0002,C0019,B003,35600,14
2016/6/22,P0007,C0019,B003,48200,6
2016/6/22,P0033,C0019,B003,8000,19
2016/6/23,P0012,C0024,B001,19500,17
2016/6/25,P0006,C0018,B004,41100,1
2016/6/25,P0006,C0009,B003,33600,10
2016/6/26,P0003,C0014,B001,29300,4
2016/6/29,P0024,C0029,B002,40700,5
2016/6/29,P0007,C0025,B004,63600,7
2016/7/1,P0031,C0013,B003,23800,12
2016/7/1,P0005,C0001,B002,700,9
2016/7/3,P0029,C0017,B003,19400,19
2016/7/4,P0015,C0025,B003,600,16
2016/7/5,P0016,C0006,B005,22600,3
2016/7/5,P0007,C0002,B003,54700,3
2016/7/5,P0007,C0030,B004,52200,2
2016/7/5,P0033,C0012,B003,9900,20
2016/7/9,P0024,C0023,B003,33400,8
2016/7/9,P0003,C0028,B003,31200,11
2016/7/11,P0031,C0026,B003,18500,13
2016/7/11,P0017,C0005,B003,41600,2
2016/7/12,P0002,C0008,B004,34100,17
2016/7/13,P0012,C0027,B003,18800,8
