ì˙ït,è§ïiID,å⁄ãqID,éxìXID,îÃîÑíPâø,îÃîÑêîó 
2016/6/7,P0001,C0025,B003,8500,1
2016/6/11,P0029,C0007,B002,15000,16
2016/6/15,P0003,C0011,B004,22800,16
2016/6/18,P0033,C0024,B003,8600,4
2016/6/18,P0013,C0015,B003,44000,10
2016/6/19,P0024,C0017,B003,35800,20
2016/6/21,P0024,C0003,B002,41400,17
2016/6/21,P0022,C0006,B003,28900,15
2016/6/21,P0003,C0001,B004,30300,5
2016/6/21,P0002,C0019,B003,35600,14
2016/6/22,P0007,C0019,B003,48200,6
2016/6/22,P0033,C0019,B003,8000,19
2016/6/23,P0012,C0024,B001,19500,17
2016/6/25,P0006,C0018,B004,41100,1
2016/6/25,P0006,C0009,B003,33600,10
2016/6/26,P0003,C0014,B001,29300,4
2016/6/29,P0024,C0029,B002,40700,5
2016/6/29,P0007,C0025,B004,63600,7
