ì˙ït,è§ïiID,å⁄ãqID,éxìXID,îÃîÑíPâø,îÃîÑêîó 
2016/7/7,P0001,C0025,B003,8500,5
2016/7/11,P0029,C0007,B002,15000,7
2016/7/15,P0003,C0011,B004,22800,1
2016/7/18,P0033,C0024,B003,8600,16
2016/7/18,P0013,C0015,B003,44000,16
2016/7/19,P0024,C0017,B003,35800,4
2016/7/21,P0024,C0003,B002,41400,10
2016/7/21,P0022,C0006,B003,28900,20
2016/7/21,P0003,C0001,B004,30300,17
2016/7/21,P0002,C0019,B003,35600,15
2016/7/22,P0007,C0019,B003,48200,5
2016/7/22,P0033,C0019,B003,8000,14
2016/7/23,P0012,C0024,B001,19500,6
2016/7/25,P0006,C0018,B004,41100,19
2016/7/25,P0006,C0009,B003,33600,17
2016/7/26,P0003,C0014,B001,29300,1
2016/7/29,P0024,C0029,B002,40700,10
2016/7/29,P0007,C0025,B004,63600,4
